BOC,Bay-headed Tanager,Tangara gyrola,,1/8/98,Ecuador,Zamora Chinchipe,,,Loja-Zamora Road,,,,,"Rio Bombuscaro, Pinas (Buenaventura) also",
VGH,Beryl-spangled Tanager,Tangara nigroviridis,,1/8/98,Ecuador,Zamora Chinchipe,,,Loja-Zamora Road,,,,,"Rio Bombuscaro, Pinas (Buenaventura) also",
BPH,Orange-bellied Euphonia,Euphonia xanthogaster,,1/8/98,Ecuador,Zamora Chinchipe,,,Loja-Zamora Road,,,,,Rio Bombuscaro also,
BPH,Orange-bellied Euphonia,Euphonia xanthogaster,,1/8/98,Ecuador,El Oro,,,Pinas (Buenaventura),,,,,,
BLPH,Black Phoebe,Sayornis nigricans,,1/8/98,Ecuador,Zamora Chinchipe,,,Loja-Zamora Road,,,,,,
VDJ,Blue-naped Chlorophonia,Chlorophonia cyanea,,1/8/98,Ecuador,Zamora Chinchipe,,,Loja-Zamora Road,,,,,,
VBS,Blue-winged Mountain-Tanager,Anisognathus somptuosus,,1/8/98,Ecuador,Zamora Chinchipe,,,Loja-Zamora Road,,,,,,
HOW,Booted Racket-tail,Ocreatus underwoodii,,1/8/98,Ecuador,Zamora Chinchipe,,,Loja-Zamora Road,,,,,,
CAWA,Canada Warbler,Cardellina canadensis,,1/8/98,Ecuador,Zamora Chinchipe,,,Loja-Zamora Road,,,,,,
BAE,Common Tody-Flycatcher,Todirostrum cinereum,,1/8/98,Ecuador,Zamora Chinchipe,,,Loja-Zamora Road,,,,,,
HKG,Glittering-throated Emerald,Amazilia fimbriata,,1/8/98,Ecuador,Zamora Chinchipe,,,Loja-Zamora Road,,,,,,
MCC,Golden-faced Tyrannulet,Zimmerius chrysops,,1/8/98,Ecuador,Zamora Chinchipe,,,Loja-Zamora Road,,,,,,
LQB,Greater Yellow-headed Vulture,Cathartes melambrotus,,1/8/98,Ecuador,Zamora Chinchipe,,,Loja-Zamora Road,,,,,,
HOY,Green-tailed Trainbearer,Lesbia nuna,,1/8/98,Ecuador,Zamora Chinchipe,,,Loja-Zamora Road,,,,,,
UEJ,Hooded Siskin,Spinus magellanicus,,1/8/98,Ecuador,Zamora Chinchipe,,,Loja-Zamora Road,,,,,,
AMKE,American Kestrel,Falco sparverius,,1/8/98,Ecuador,Zamora Chinchipe,,,Loja-Zamora Road,,,,,,
EDN,Little Woodpecker,Dryobates passerinus,,1/8/98,Ecuador,Zamora Chinchipe,,,Loja-Zamora Road,,,,,,
UWW,Magpie Tanager,Cissopis leverianus,,1/8/98,Ecuador,Zamora Chinchipe,,,Loja-Zamora Road,,,,,,
MGE,Marble-faced Bristle-Tyrant,Phylloscartes ophthalmicus,,1/8/98,Ecuador,Zamora Chinchipe,,,Loja-Zamora Road,,,,,,
AIK,Montane Woodcreeper,Lepidocolaptes lacrymiger,,1/8/98,Ecuador,Zamora Chinchipe,,,Loja-Zamora Road,,,,,,
ORP,Olivaceous Greenlet,Hylophilus olivaceus,,1/8/98,Ecuador,Zamora Chinchipe,,,Loja-Zamora Road,,,,,,
BMN,Rufous-browed Peppershrike,Cyclarhis gujanensis,,1/8/98,Ecuador,Zamora Chinchipe,,,Loja-Zamora Road,,,,,,
BTT,Rufous-collared Sparrow,Zonotrichia capensis,,1/8/98,Ecuador,Zamora Chinchipe,,,Loja-Zamora Road,,,,,,
NOE,Rusty-winged Barbtail,Premnornis guttuliger,,1/8/98,Ecuador,Zamora Chinchipe,,,Loja-Zamora Road,,,,,,
VEG,Saffron-crowned Tanager,Tangara xanthocephala,,1/8/98,Ecuador,Zamora Chinchipe,,,Loja-Zamora Road,,,,,,
DDU,Sickle-winged Guan,Chamaepetes goudotii,,1/8/98,Ecuador,Zamora Chinchipe,,,Loja-Zamora Road,,,,,,
MKM,Smoke-colored Pewee,Contopus fumigatus,,1/8/98,Ecuador,Zamora Chinchipe,,,Loja-Zamora Road,,,,,,
BAS,Tawny-breasted Flycatcher,Myiobius villosus,,1/8/98,Ecuador,Zamora Chinchipe,,,Loja-Zamora Road,,,,,,
BNP,Three-striped Warbler,Basileuterus tristriatus,,1/8/98,Ecuador,Zamora Chinchipe,,,Loja-Zamora Road,,,,,,
DTL,Torrent Duck,Merganetta armata,,1/8/98,Ecuador,Zamora Chinchipe,,,Loja-Zamora Road,,,,,,
AZP,Torrent Tyrannulet,Serpophaga cinerea,,1/8/98,Ecuador,Zamora Chinchipe,,,Loja-Zamora Road,,,,,,
TRKI,Tropical Kingbird,Tyrannus melancholicus,,1/8/98,Ecuador,Zamora Chinchipe,,,Loja-Zamora Road,,,,,,
MYQ,Uniform Antshrike,Thamnophilus unicolor,,1/8/98,Ecuador,Zamora Chinchipe,,,Loja-Zamora Road,,,,,,
RGM,White-banded Swallow,Atticora fasciata,,1/8/98,Ecuador,Zamora Chinchipe,,,Loja-Zamora Road,,,,,,
BPW,White-lined Tanager,Tachyphonus rufus,,1/8/98,Ecuador,Zamora Chinchipe,,,Loja-Zamora Road,,,,,,
NBO,Yellow-breasted Antwren,Herpsilochmus axillaris,,1/8/98,Ecuador,Zamora Chinchipe,,,Loja-Zamora Road,,,,,,
UXH,Short-billed Chlorospingus,Chlorospingus parvirostris,,1/8/98,Ecuador,Zamora Chinchipe,,,Loja-Zamora Road,,,,,,
BPJ,Blue-gray Tanager,Thraupis episcopus,,1/8/98,Ecuador,Zamora Chinchipe,,,Loja-Zamora Road,,,,,,
BPJ,Blue-gray Tanager,Thraupis episcopus,,1/8/98,Ecuador,El Oro,,,Pinas (Buenaventura),,,,,,
ALQ,Squirrel Cuckoo,Piaya cayana,,1/8/98,Ecuador,El Oro,,,Pinas (Buenaventura),,,,,,
ALQ,Squirrel Cuckoo,Piaya cayana,,1/8/98,Ecuador,Zamora Chinchipe,,,Loja-Zamora Road,,,,,,
VGB,Blue-necked Tanager,Stilpnia cyanicollis,,1/8/98,Ecuador,Zamora Chinchipe,,,Loja-Zamora Road,,,,,Rio Bombuscaro also,
