KNK,Double-banded Courser,Smutsornis africanus,,2/7/88,Kenya,Central,,,Nairobi,,,,,,
DHR,Crested Francolin,Dendroperdix sephaena,,3/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
QMB,Red-backed Scrub-Robin,Cercotrichas leucophrys,,3/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
PRK,Slate-colored Boubou,Laniarius funebris,,3/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
EVB,Rufous-crowned Roller,Coracias naevius,,3/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
LEV,Greater Kestrel,Falco rupicoloides,,3/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
BWJ,Southern Red Bishop,Euplectes orix,,3/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
KNK,Double-banded Courser,Smutsornis africanus,,3/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
DJP,Gray-breasted Francolin,Pternistis rufopictus,,3/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
GQV,Fischer's Lovebird,Agapornis fischeri,,3/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
OPM,Magpie Shrike,Corvinella melanoleuca,,3/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
EYB,Striped Kingfisher,Halcyon chelicuti,,3/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
TQT,Gray-headed Social-Weaver,Pseudonigrita arnaudi,,3/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
TQM,Speckle-fronted Weaver,Sporopipes frontalis,,3/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
EMA,D'Arnaud's Barbet,Trachyphonus darnaudii,,3/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
TUW,White-winged Widowbird,Euplectes albonotatus,,3/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
GDK,Dideric Cuckoo,Chrysococcyx caprius,,3/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
ULZ,Golden-breasted Bunting,Emberiza flaviventris,,3/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
ELD,Red-fronted Barbet,Tricholaema diademata,,3/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
ULO,Cinnamon-breasted Bunting,Emberiza tahapisi,,3/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
PDC,African Golden Oriole,Oriolus auratus,,3/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
TWZ,Blue-capped Cordonbleu,Uraeginthus cyanocephalus,,3/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
HWH,Verreaux's Eagle-Owl,Bubo lacteus,,3/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
UBH,Steel-blue Whydah,Vidua hypocherina,,3/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
BVH,Yellow-fronted Canary,Crithagra mozambica,,3/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
UBJ,Straw-tailed Whydah,Vidua fischeri,,3/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
UBP,Eastern Paradise-Whydah,Vidua paradisaea,,3/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
QSE,Lesser Blue-eared Starling,Lamprotornis chloropterus,,3/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
TUA,Cardinal Quelea,Quelea cardinalis,,3/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
EXD,African Pygmy-Kingfisher,Ispidina picta,,3/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
SYW,Flappet Lark,Mirafra rufocinnamomea,,3/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
SYL,White-tailed Lark,Mirafra albicauda,,3/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
COCU,Common Cuckoo,Cuculus canorus,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
DKD,Harlequin Quail,Coturnix delegorguei,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
DXR,Scaly-throated Honeyguide,Indicator variegatus,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
PVZ,Rufous-tailed Rock-Thrush,Monticola saxatilis,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
TYA,Quailfinch,Ortygospiza atricollis,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
TVB,Jackson's Widowbird,Euplectes jacksoni,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
PDB,Eurasian Golden Oriole,Oriolus oriolus,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
KVV,White-headed Vulture,Trigonoceps occipitalis,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
PDL,African Black-headed Oriole,Oriolus larvatus,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
TNO,Mountain Wagtail,Motacilla clara,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
ULO,Cinnamon-breasted Bunting,Emberiza tahapisi,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
LBK,Mountain Buzzard,Buteo oreophilus,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
OOV,Lesser Gray Shrike,Lanius minor,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
SCK,Great Reed Warbler,Acrocephalus arundinaceus,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
SPRE,Spotted Redshank,Tringa erythropus,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
HSA,Schalow's Turaco,Tauraco schalowi,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
KBP,Red-knobbed Coot,Fulica cristata,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
DVN,Southern Pochard,Netta erythrophthalma,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
DUV,Red-billed Duck,Anas erythrorhyncha,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
DUJ,Yellow-billed Duck,Anas undulata,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
DTW,Cape Teal,Anas capensis,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
DUY,Hottentot Teal,Spatula hottentota,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
GRSA,Green Sandpiper,Tringa ochropus,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
MASA,Marsh Sandpiper,Tringa stagnatilis,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
LGR,Lanner Falcon,Falco biarmicus,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
SYH,Singing Bushlark,Mirafra cantillans,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
TSH,Speke's Weaver,Ploceus spekei,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
GQW,Yellow-collared Lovebird,Agapornis personatus,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
COHM,Common House-Martin,Delichon urbicum,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
PRO,Rosy-patched Bushshrike,Rhodophoneus cruentus,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
GDH,Klaas's Cuckoo,Chrysococcyx klaas,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
QOV,Mourning Wheatear,Oenanthe lugens,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
RSB,Desert Cisticola,Cisticola aridulus,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
JDL,Sombre Nightjar,Caprimulgus fraenatus,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
GAW,Blue-cheeked Bee-eater,Merops persicus,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
CUSA,Curlew Sandpiper,Calidris ferruginea,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
LIST,Little Stint,Calidris minuta,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
RUFF,Ruff,Calidris pugnax,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
CRPL,Common Ringed Plover,Charadrius hiaticula,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
CGRE,Common Greenshank,Tringa nebularia,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
SLJ,Fan-tailed Grassbird,Schoenicola brevirostris,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
KWZ,Montagu's Harrier,Circus pygargus,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
KWN,Eurasian Marsh-Harrier,Circus aeruginosus,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
LGL,African Hobby,Falco cuvierii,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
LCT,Martial Eagle,Polemaetus bellicosus,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
SYQ,Red-winged Lark,Mirafra hypermetra,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
TOJ,Plain-backed Pipit,Anthus leucophrys,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
TOS,Long-billed Pipit,Anthus similis,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
OOL,Red-backed Shrike,Lanius collurio,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
RQH,Red-faced Cisticola,Cisticola erythrops,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
RUR,Brown-headed Apalis,Apalis alticola,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
EAV,Nubian Woodpecker,Campethera nubica,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
QEB,Spotted Flycatcher,Muscicapa striata,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
TRG,Spectacled Weaver,Ploceus ocularis,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
RTPI,Red-throated Pipit,Anthus cervinus,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
KLE,Chestnut-banded Plover,Charadrius pallidus,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
CUSA,Curlew Sandpiper,Calidris ferruginea,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
NHOB,Eurasian Hobby,Falco subbuteo,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
PEFA,Peregrine Falcon,Falco peregrinus,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
KWX,Pallid Harrier,Circus macrourus,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
PQH,Brubru,Nilaus afer,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
EXX,Woodland Kingfisher,Halcyon senegalensis,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
PQS,Brown-crowned Tchagra,Tchagra australis,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
RRH,Winding Cisticola,Cisticola marginatus,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
KWO,African Marsh-Harrier,Circus ranivorus,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
LEX,Gray Kestrel,Falco ardosiaceus,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
GBQ,Great Spotted Cuckoo,Clamator glandarius,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
JDZ,Abyssinian Nightjar,Caprimulgus poliocephalus,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
KUC,Bat Hawk,Macheiramphus alcinus,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
QLL,Rüppell's Robin-Chat,Cossypha semirufa,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
RRN,Stout Cisticola,Cisticola robustus,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
LEN,Lesser Kestrel,Falco naumanni,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
EUKE,Eurasian Kestrel,Falco tinnunculus,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
TRO,Holub's Golden-Weaver,Ploceus xanthops,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
QSV,Violet-backed Starling,Cinnyricinclus leucogaster,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
JPK,African Green-Pigeon,Treron calvus,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
HOOP,Eurasian Hoopoe,Upupa epops,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
TNZ,Striped Pipit,Anthus lineiventris,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
ETE,Common Scimitarbill,Rhinopomastus cyanomelas,,4/26/88,Tanzania,Arusha,,,Ngorongoro Crater and vicinity,,,,,,
DJQ,Red-necked Francolin,Pternistis afer,,5/17/88,Tanzania,Arusha,,,Tarangire NP,,,,,,
QTC,Ashy Starling,Lamprotornis unicolor,,5/17/88,Tanzania,Arusha,,,Tarangire NP,,,,,,
HSS,Bare-faced Go-away-bird,Corythaixoides personatus,,5/17/88,Tanzania,Arusha,,,Tarangire NP,,,,,,
GQL,Meyer's Parrot,Poicephalus meyeri,,5/17/88,Tanzania,Arusha,,,Tarangire NP,,,,,,
TUV,Yellow-mantled Widowbird,Euplectes macroura,,5/17/88,Tanzania,Arusha,,,Tarangire NP,,,,,,
QCY,Silverbird,Melaenornis semipartitus,,5/24/88,Tanzania,Arusha,,,Serengeti and vicinity,,,,,,
GQL,Meyer's Parrot,Poicephalus meyeri,,5/24/88,Tanzania,Arusha,,,Serengeti and vicinity,,,,,,
ELA,Red-fronted Tinkerbird,Pogoniulus pusillus,,5/24/88,Tanzania,Arusha,,,Serengeti and vicinity,,,,,,
KCL,Yellow-throated Sandgrouse,Pterocles gutturalis,,5/24/88,Tanzania,Arusha,,,Serengeti and vicinity,,,,,,
KNQ,Temminck's Courser,Cursorius temminckii,,5/24/88,Tanzania,Arusha,,,Serengeti and vicinity,,,,,,
TRR,Golden Palm Weaver,Ploceus bojeri,,4/2/88,Kenya,Coast,,,Mombasa and vicinity,,,,,,
BWH,Village Weaver,Ploceus cucullatus,,4/2/88,Kenya,Coast,,,Mombasa and vicinity,,,,,,
PDB,Eurasian Golden Oriole,Oriolus oriolus,,4/2/88,Kenya,Coast,,,Mombasa and vicinity,,,,,,
GAS,White-throated Bee-eater,Merops albicollis,,4/2/88,Kenya,Coast,,,Mombasa and vicinity,,,,,,
TME,Parrot-billed Sparrow,Passer gongonensis,,4/2/88,Kenya,Coast,,,Mombasa and vicinity,,,,,,
UCO,Reichenow's Seedeater,Crithagra reichenowi,,4/2/88,Kenya,Coast,,,Mombasa and vicinity,,,,,,
JKQ,Emerald-spotted Wood-Dove,Turtur chalcospilos,,4/2/88,Kenya,Coast,,,Mombasa and vicinity,,,,,,
PVZ,Rufous-tailed Rock-Thrush,Monticola saxatilis,,4/2/88,Kenya,Coast,,,Mombasa and vicinity,,,,,,
QCZ,Pale Flycatcher,Agricola pallidus,,4/2/88,Kenya,Coast,,,Mombasa and vicinity,,,,,,
TUR,Zanzibar Red Bishop,Euplectes nigroventris,,4/2/88,Kenya,Coast,,,Mombasa and vicinity,,,,,,
TJT,Purple-banded Sunbird,Cinnyris bifasciatus,,4/2/88,Kenya,Coast,,,Mombasa and vicinity,,,,,,
BBPL,Black-bellied Plover,Pluvialis squatarola,,4/2/88,Kenya,Coast,,,Mombasa and vicinity,,,,,,
RUTU,Ruddy Turnstone,Arenaria interpres,,4/2/88,Kenya,Coast,,,Mombasa and vicinity,,,,,,
WHIM,Whimbrel,Numenius phaeopus,,4/2/88,Kenya,Coast,,,Mombasa and vicinity,,,,,,
CUSA,Curlew Sandpiper,Calidris ferruginea,,4/2/88,Kenya,Coast,,,Mombasa and vicinity,,,,,,
LQP,Woolly-necked Stork,Ciconia episcopus,,4/2/88,Kenya,Coast,,,Mombasa and vicinity,,,,,,
COSA,Common Sandpiper,Actitis hypoleucos,,4/2/88,Kenya,Coast,,,Mombasa and vicinity,,,,,,
ELQ,Black-collared Barbet,Lybius torquatus,,4/2/88,Kenya,Coast,,,Mombasa and vicinity,,,,,,
KLR,Greater Sand-Plover,Charadrius leschenaultii,,4/2/88,Kenya,Coast,,,Mombasa and vicinity,,,,,,
SAND,Sanderling,Calidris alba,,4/2/88,Kenya,Coast,,,Mombasa and vicinity,,,,,,
AGT,Little Tern,Sternula albifrons,,4/2/88,Kenya,Coast,,,Mombasa and vicinity,,,,,,
KQU,Lesser Crested Tern,Thalasseus bengalensis,,4/2/88,Kenya,Coast,,,Mombasa and vicinity,,,,,,
ROST,Roseate Tern,Sterna dougallii,,4/2/88,Kenya,Coast,,,Mombasa and vicinity,,,,,,
KRR,White-cheeked Tern,Sterna repressa,,4/2/88,Kenya,Coast,,,Mombasa and vicinity,,,,,,
MONP,Lesser Sand-Plover,Charadrius mongolus,,4/2/88,Kenya,Coast,,,Mombasa and vicinity,,,,,,
CRPL,Common Ringed Plover,Charadrius hiaticula,,4/2/88,Kenya,Coast,,,Mombasa and vicinity,,,,,,
TEY,Mouse-colored Sunbird,Cyanomitra veroxii,,4/2/88,Kenya,Coast,,,Mombasa and vicinity,,,,,,
WRHE,Western Reef-Heron,Egretta gularis,,4/2/88,Kenya,Coast,,,Mombasa and vicinity,,,,,,
ESO,Silvery-cheeked Hornbill,Bycanistes brevis,,4/2/88,Kenya,Coast,,,Mombasa and vicinity,,,,,,
EAZ,Mombasa Woodpecker,Campethera mombassica,,4/2/88,Kenya,Coast,,,Mombasa and vicinity,,,,,,
RNO,Terrestrial Brownbul,Phyllastrephus terrestris,,4/2/88,Kenya,Coast,,,Mombasa and vicinity,,,,,,
SDL,Olive-tree Warbler,Hippolais olivetorum,,4/2/88,Kenya,Coast,,,Mombasa and vicinity,,,,,,
TRG,Spectacled Weaver,Ploceus ocularis,,4/2/88,Kenya,Coast,,,Mombasa and vicinity,,,,,,
KWC,Bateleur,Terathopius ecaudatus,,4/2/88,Kenya,Coast,,,Mombasa and vicinity,,,,,,
LDH,Crowned Eagle,Stephanoaetus coronatus,,4/2/88,Kenya,Coast,,,Mombasa and vicinity,,,,,,
GAM,Little Bee-eater,Merops pusillus,,4/2/88,Kenya,Coast,,,Mombasa and vicinity,,,,,,
HBQ,African Palm-Swift,Cypsiurus parvus,,4/2/88,Kenya,Coast,,,Mombasa and vicinity,,,,,,
RQW,Rattling Cisticola,Cisticola chiniana,,4/2/88,Kenya,Coast,,,Mombasa and vicinity,,,,,,
EUZ,Lilac-breasted Roller,Coracias caudatus,,4/2/88,Kenya,Coast,,,Mombasa and vicinity,,,,,,
QRZ,Black-bellied Starling,Notopholia corusca,,4/2/88,Kenya,Coast,,,Mombasa and vicinity,,,,,,
TZN,Black-and-white Mannikin,Spermestes bicolor,,4/2/88,Kenya,Coast,,,Mombasa and vicinity,,,,,,
EUX,European Roller,Coracias garrulus,,4/2/88,Kenya,Coast,,,Mombasa and vicinity,,,,,,
LBJ,Common Buzzard,Buteo buteo,,4/2/88,Kenya,Coast,,,Mombasa and vicinity,,,,,,
KTW,European Honey-buzzard,Pernis apivorus,,4/2/88,Kenya,Coast,,,Mombasa and vicinity,,,,,,
SYW,Flappet Lark,Mirafra rufocinnamomea,,4/2/88,Kenya,Coast,,,Mombasa and vicinity,,,,,,
BRTP,Tree Pipit,Anthus trivialis,,4/2/88,Kenya,Coast,,,Mombasa and vicinity,,,,,,
OOL,Red-backed Shrike,Lanius collurio,,4/2/88,Kenya,Coast,,,Mombasa and vicinity,,,,,,
DHR,Crested Francolin,Dendroperdix sephaena,,4/2/88,Kenya,Coast,,,Mombasa and vicinity,,,,,,
OOV,Lesser Gray Shrike,Lanius minor,,4/2/88,Kenya,Coast,,,Mombasa and vicinity,,,,,,
QMB,Red-backed Scrub-Robin,Cercotrichas leucophrys,,4/2/88,Kenya,Coast,,,Mombasa and vicinity,,,,,,
BVH,Yellow-fronted Canary,Crithagra mozambica,,4/2/88,Kenya,Coast,,,Mombasa and vicinity,,,,,,
RNP,Northern Brownbul,Phyllastrephus strepitans,,4/2/88,Kenya,Coast,,,Mombasa and vicinity,,,,,,
LMH,Intermediate Egret,Ardea intermedia,,4/2/88,Kenya,Coast,,,Mombasa and vicinity,,,,,,
PLC,Fork-tailed Drongo,Dicrurus adsimilis,,4/2/88,Kenya,Coast,,,Mombasa and vicinity,,,,,,
TEQ,Collared Sunbird,Hedydipna collaris,,4/2/88,Kenya,Coast,,,Mombasa and vicinity,,,,,,
EWR,Malachite Kingfisher,Corythornis cristatus,,4/2/88,Kenya,Coast,,,Mombasa and vicinity,,,,,,
KLH,White-fronted Plover,Charadrius marginatus,,4/2/88,Kenya,Coast,,,Mombasa and vicinity,,,,,,
DOV,Crested Guineafowl,Guttera pucherani,,4/2/88,Kenya,Coast,,,Mombasa and vicinity,,,,,,
TESA,Terek Sandpiper,Xenus cinereus,,4/2/88,Kenya,Coast,,,Mombasa and vicinity,,,,,,
RMW,Stripe-cheeked Greenbul,Arizelocichla milanjensis,,4/5/88,Tanzania,Coast,,,Usambara Mtns,,,,,,
QKD,Usambara Akalat,Sheppardia montana,,4/5/88,Tanzania,Coast,,,Usambara Mtns,,,,,,
TTG,Usambara Weaver,Ploceus nicolli,,4/5/88,Tanzania,Coast,,,Usambara Mtns,,,,,,
RNX,Yellow-streaked Greenbul,Phyllastrephus flavostriatus,,4/5/88,Tanzania,Coast,,,Usambara Mtns,,,,,,
RNM,Fischer's Greenbul,Phyllastrephus fischeri,,4/5/88,Tanzania,Coast,,,Usambara Mtns,,,,,,
EKR,Green Barbet,Stactolaema olivacea,,4/5/88,Tanzania,Coast,,,Usambara Mtns,,,,,,
JPK,African Green-Pigeon,Treron calvus,,4/5/88,Tanzania,Coast,,,Usambara Mtns,,,,,,
QRZ,Black-bellied Starling,Notopholia corusca,,4/5/88,Tanzania,Coast,,,Usambara Mtns,,,,,,
TEP,Banded Sunbird,Anthreptes rubritorques,,4/5/88,Tanzania,Coast,,,Usambara Mtns,,,,,,
TZO,Eastern Mountain Greenbul,Arizelocichla nigriceps,,4/5/88,Tanzania,Coast,,,Usambara Mtns,,,,,,
TEQ,Collared Sunbird,Hedydipna collaris,,4/5/88,Tanzania,Coast,,,Usambara Mtns,,,,,,
TEN,Amani Sunbird,Hedydipna pallidigaster,,4/5/88,Tanzania,Coast,,,Usambara Mtns,,,,,,
TZN,Black-and-white Mannikin,Spermestes bicolor,,4/5/88,Tanzania,Coast,,,Usambara Mtns,,,,,,
GBG,Speckled Mousebird,Colius striatus,,4/5/88,Tanzania,Coast,,,Usambara Mtns,,,,,,
EKO,White-eared Barbet,Stactolaema leucotis,,4/5/88,Tanzania,Coast,,,Usambara Mtns,,,,,,
TQZ,Baglafecht Weaver,Ploceus baglafecht,,4/5/88,Tanzania,Coast,,,Usambara Mtns,,,,,,
TNH,African Pied Wagtail,Motacilla aguimp,,4/5/88,Tanzania,Coast,,,Usambara Mtns,,,,,,
RLE,Common Bulbul,Pycnonotus barbatus,,4/5/88,Tanzania,Coast,,,Usambara Mtns,,,,,,
LDH,Crowned Eagle,Stephanoaetus coronatus,,4/5/88,Tanzania,Coast,,,Usambara Mtns,,,,,,
PLC,Fork-tailed Drongo,Dicrurus adsimilis,,4/5/88,Tanzania,Coast,,,Usambara Mtns,,,,,,
RUO,Black-headed Apalis,Apalis melanocephala,,4/5/88,Tanzania,Coast,,,Usambara Mtns,,,,,,
BWP,Common Waxbill,Estrilda astrild,,4/5/88,Tanzania,Coast,,,Usambara Mtns,,,,,,
RHZ,Mosque Swallow,Cecropis senegalensis,,4/5/88,Tanzania,Coast,,,Usambara Mtns,,,,,,
HBQ,African Palm-Swift,Cypsiurus parvus,,4/5/88,Tanzania,Coast,,,Usambara Mtns,,,,,,
HCG,Little Swift,Apus affinis,,4/5/88,Tanzania,Coast,,,Usambara Mtns,,,,,,
PDC,African Golden Oriole,Oriolus auratus,,4/5/88,Tanzania,Coast,,,Usambara Mtns,,,,,,
SBK,Moustached Grass-Warbler,Melocichla mentalis,,4/5/88,Tanzania,Coast,,,Usambara Mtns,,,,,,
EKU,Moustached Tinkerbird,Pogoniulus leucomystax,,4/5/88,Tanzania,Coast,,,Usambara Mtns,,,,,,
TEW,Olive Sunbird,Cyanomitra olivacea,,4/5/88,Tanzania,Coast,,,Usambara Mtns,,,,,,
PEU,Gray Cuckooshrike,Coracina caesia,,4/5/88,Tanzania,Coast,,,Usambara Mtns,,,,,,
PTA,Pale Batis,Batis soror,,4/5/88,Tanzania,Coast,,,Usambara Mtns,,,,,,
BTGR,Boat-tailed Grackle,Quiscalus major,,7/1/85,USA,NC,Carteret,Shackleford Banks,,,,,,,
SSHA,Sharp-shinned Hawk,Accipiter striatus,,7/1/85,USA,NC,Carteret,Shackleford Banks,,,,,,,
AMOY,American Oystercatcher,Haematopus palliatus,,7/1/85,USA,NC,Carteret,Shackleford Banks,,,,,,,
FOTE,Forster's Tern,Sterna forsteri,,7/1/85,USA,NC,Carteret,Shackleford Banks,,,,,,,
COTE,Common Tern,Sterna hirundo,,7/1/85,USA,NC,Carteret,Shackleford Banks,,,,,,,
ROYT,Royal Tern,Thalasseus maximus,,7/1/85,USA,NC,Carteret,Shackleford Banks,,,,,,,
SATE,Sandwich Tern,Thalasseus sandvicensis,,7/1/85,USA,NC,Carteret,Shackleford Banks,,,,,,,
BLSK,Black Skimmer,Rynchops niger,,7/1/85,USA,NC,Carteret,Shackleford Banks,,,,,,,
WIPL,Wilson's Plover,Charadrius wilsonia,,7/1/85,USA,NC,Carteret,Shackleford Banks,,,,,,,
BBPL,Black-bellied Plover,Pluvialis squatarola,,7/1/85,USA,NC,Carteret,Shackleford Banks,,,,,,,
