Family,Common Name,Specific Name,Date,Location,Country,State,Total
,Wilson's Plover,Charadrius wilsonia,4/25/21,Bolivar Peninsula ,,Texas,
Scolopacidae,American Woodcock (H),,5/11/19,Cape May ,,New Jersey,
,Baird's Sandpiper,Calidris bairdii,,Calamus Reservoir,,Nebraska,
,Black Turnstone,Arenaria melanocephala,Pesach 09,Half Moon Bay,,California,
,Buff-breasted Sandpiper,,5/6/20,Seward,,Nebraska,
,Dunlin,,,Baylands,,California,
,Greater Yellowlegs,Tringa melanoleuca,,Bellevue,,Nebraska,
,Hudsonian Godwit,,5/6/20,Seward ,,Nebraska,
,Least Sandpiper,Calidris minutilla,,F.I.I.K.,,Nebraska,
,Lesser Yellowlegs,Tringa flavipes,,Bellevue,,Nebraska,
,Long-billed Curlew,Numenius americana,,Gitmo Beach,,California,
,Long-billed Dowitcher,,5/6/20,Seward ,,Nebraska ,
,Marbled Godwit,Limosa fedoa,Pesach 09,Bay Lands,,California,
,Red Knot,,,San Diego,,California,
,Red-necked Phalarope,Phalaropus lobatus,10/5/19,Monterey Bay,,California,
,Ruddy Turnstone,Arenaria interpres,8/15/10,Little Compton,,Rhode Island,
,Sanderling,Calidris alba,,Half Moon Bay,,California,
,Semipalmated Sandpiper,Calidris pusilla,,F.I.I.K.,,Nebraska,
,Short-billed Dowitcher,Limnodromus griseus,,Bay Lands,,California,
,Solitary Sandpiper,,5/11/19,The Meadows at Cape May,,New Jersey,
,Spotted Sandpiper,Actitis macularia,,Phoenix,,Arizona,
,Stilt Sandpiper,Calidris himantopa,,Calamus Reservoir,,Nebraska,
,Surfbird,Aphriza virgata,Pesach 09,Half Moon Bay,,California,
,Upland Sandpiper,,,,,Nebraska,
,Wandering Tattler,,08/01/12,Talkeetna Mts.,,Alaska,
,Western Sandpiper,Calidris mauri,,Bay Lands,,California,
,White-rumped Sandpiper,Calidris fuscicollis,6/12/09,Lemmon,,South Dakota,
,Willet,,2013,Baylands,,California,
,Wilson's Phalarope,Phalaropus wilsonii,,F.I.I.K.,,Nebraska,
,Wilson's Snipe,Gallinagos delicata,,Platte River,,Nebraska,
,Wimbrel,,,,,Nebraska,
Laridae,Black-legged Kittiwake,Rissa tridactyla,10/5/19,Monterey Bay,,California ,
,Bonaparte's Gull,,7/20/17,Newport Beach,,California,
,California Gull,,,Bay Lands,,California,
,Franklin's Gull,Leucophaeus pipixcan,,Backyard,,Nebraska,
,Glacous-winged Gull,Larus glaucescens,,Half Moon Bay,,California,
,Greater Black-backed Gull,Larus marinus,,Bell Haven,,Connecticut,
,Heermann's Gull,Larus heermanni,,Half Moon Bay,,California,
,Herring Gull,Larus argentatus,,Bell Haven,,Connecticut,
,Laughing Gull,Leucophaeus atricilla,8/809,Todd's Point,,Connecticut,
,Little Gull,Hydrocoloeus minutus,5/26/18,Lake Huron,,Michigan,
,Mew Gull,,,Anchorage,,Alaska,
,Ring-billed Gull,Larus philadelphicus,,Bell Haven,,Connecticut,
,Sabine's Gull,Xema sabini,10/5/19,Monterey Bay,,California ,
,Thayer's Gull,Larus thayeri,2/17,Bay Lands,,California,
,Western Gull,Larus occidentalis,,Half Moon Bay,,California,
,Arctic Tern,,,Anchorage,,Alaska,
,Black Skimmer,Rhynchops niger,,Vero beach,,Florida,
